SEASON_YEAR,POSTAL_CODE,PRODUCT_TYPE,TOTAL_SEATS,TOTAL_ACCOUNTS
2025,60645,Full Season,14923,116
2027,60645,Full Season,12300,84
2026,60645,Full Season,11383,75
2027,60614,Full Season,8036,63
2025,60614,Full Season,7778,65
2026,60614,Full Season,7754,63
2025,60601,Full Season,4901,35
2027,60601,Full Season,4797,32
2026,60601,Full Season,4673,31
2025,60622,Full Season,4547,39
2027,60657,Full Season,4469,39
2025,60062,Full Season,4246,35
2025,60607,Full Season,4160,36
2025,60611,Full Season,4112,34
2025,60610,Full Season,4089,37
2027,60062,Full Season,4018,30
2027,60607,Full Season,3977,34
2027,60610,Full Season,3936,34
2026,60607,Full Season,3911,33
2026,60062,Full Season,3900,29
2025,60657,Full Season,3882,34
2026,60610,Full Season,3876,34
2025,60618,Full Season,3766,36
2026,60611,Full Season,3693,29
2026,60657,Full Season,3658,33
2027,60611,Full Season,3567,29
2025,60659,Full Season,3505,33
2027,60618,Full Season,3403,32
2025,60076,Full Season,3200,27
2027,60606,Full Season,3198,21
2026,60618,Full Season,3180,29
2025,60126,Full Season,3173,27
2026,60126,Full Season,3161,27
2026,60622,Full Season,3090,30
2025,60606,Full Season,3082,22
2027,60622,Full Season,2993,28
2026,60606,Full Season,2955,20
2027,60126,Full Season,2911,25
2025,60015,Full Season,2884,23
2025,60613,Full Season,2868,26
2026,60631,Full Season,2854,27
2025,60631,Full Season,2806,28
2025,60654,Full Season,2782,21
2025,60647,Full Season,2781,25
2027,60659,Full Season,2747,21
2025,60148,Full Season,2726,26
2027,60631,Full Season,2665,26
2026,60015,Full Season,2641,19
2025,60010,Full Season,2636,22
2027,60015,Full Season,2542,19
2026,60659,Full Season,2518,19
2027,60654,Full Season,2501,18
2026,60645,Half Season,2472,33
2026,60654,Full Season,2468,17
2025,60093,Full Season,2458,20
2025,60025,Full Season,2418,20
2027,60076,Full Season,2378,17
2026,60625,Full Season,2366,21
2026,60025,Full Season,2344,18
2027,60645,Half Season,2340,30
2025,60004,Full Season,2316,19
2026,60010,Full Season,2263,19
2027,60625,Full Season,2255,20
2027,60025,Full Season,2255,18
2025,60045,Full Season,2255,17
2025,60642,Full Season,2240,19
2027,60642,Full Season,2214,20
2027,60093,Full Season,2214,19
2025,60525,Full Season,2180,20
2026,60076,Full Season,2175,16
2025,60181,Full Season,2166,19
2026,60045,Full Season,2142,16
2026,60093,Full Season,2141,18
2027,60523,Full Season,2132,14
2026,60004,Full Season,2108,16
2025,60645,Half Season,2100,28
2025,60515,Full Season,2082,20
2025,60201,Full Season,2080,15
2027,60525,Full Season,2050,17
2026,60647,Full Season,2023,19
2026,60515,Full Season,2012,19
2026,85281,Group,2010,3
2027,60004,Full Season,2009,16
2026,60525,Full Season,2001,17
2026,60523,Full Season,1990,13
2027,60647,Full Season,1968,17
2027,60045,Full Season,1968,15
2025,60091,Full Season,1966,16
2025,60625,Full Season,1961,19
2025,60523,Full Season,1948,13
2025,60527,Full Season,1939,16
2027,60613,Full Season,1927,19
2027,60047,Full Season,1927,14
2025,60558,Full Season,1925,15
2025,60047,Full Season,1909,16
2025,60612,Full Season,1904,17
2025,60068,Full Season,1889,17
2027,60612,Full Season,1886,16
2026,60642,Full Season,1879,18
2027,60010,Full Season,1845,15
2026,60148,Full Season,1834,17
2026,60558,Full Season,1828,14
2026,60612,Full Season,1812,16
2027,60558,Full Season,1804,13
2025,60605,Full Season,1778,16
2026,60613,Full Season,1773,18
2026,60605,Full Season,1771,15
2027,60605,Full Season,1763,15
2026,60047,Full Season,1752,14
